step	time	T	T-cg	T-at	Ekin	res	angle_252_cross	angle_254_cross	angle_255	angle_256	angle_257	angle_258	angle_259	angle_260	angle_261	angle_262	angle_263	angle_264	angle_265	angle_266	angle_267	angle_268	angle_269	angle_270	angle_271	angle_272	angle_273	angle_274	angle_275	angle_276	angle_277	angle_278	angle_279	angle_280	angle_281	angle_282	angle_283	angle_284	angle_285	angle_286	angle_287	angle_288	angle_289	angle_290	angle_291	angle_292	angle_293	angle_294	angle_295	angle_296	angle_297	angle_298	angle_299	angle_300	angle_301	angle_302	angle_303	angle_304	angle_305	angle_306	angle_307	angle_308	angle_309	angle_310	angle_311	angle_312	angle_313	angle_314	angle_315	angle_316_cross	angle_317_cross	angle_318_cross	angle_319_cross	angle_320_cross	angle_321_cross	angle_322_cross	angle_323_cross	angle_324_cross	angle_325_cross	angle_326_cross	bond_125_cross	bond_126_cross	bond_127_cross	bond_129	bond_130	bond_131	bond_132	bond_133	bond_134	bond_135	bond_136	bond_137	bond_138	bond_138_cross	bond_139	bond_140	bond_141	bond_142	bond_143	bond_144	bond_145	bond_146	bond_147	bond_148	bond_149_cross	bond_150_cross	bond_35	dihedral_0	dihedral_0_cross	dihedral_176	dihedral_190	dihedral_191	dihedral_30_cross	dihedral_51	dihedral_60	dihedral_61	dihedral_61_cross	dihedral_64_cross	tab-cg
250	0.25	2.45801	2.47525	2.456	24776.7	0.0249	1471.11	75.3981	232.501	220.108	247.789	265.08	143.809	186.951	198.779	141.954	149.314	170.179	198.611	176.631	212.953	190.38	144.992	165.661	198.078	185.311	225.384	183.798	159.209	168.543	157.952	177.839	172.546	207.479	226.45	255.287	282.158	257.482	252.814	87.4903	60.1479	16.1371	22.3921	31.3338	20.4078	15.4671	217.646	40.2021	92.0707	82.1251	125.153	100.747	103.473	134.314	111.186	106.386	101.093	142.112	101.123	136.169	83.3891	124.538	110.622	104.798	128.06	85.6716	100.601	58.2333	130.898	37.4247	13.1624	7.60885	6.26162	41.9703	15.5155	134.672	0.964846	1.76608	0.845074	1.45637	610.874	438.182	43.2126	224.17	496.52	913.572	471.887	492.046	826.649	993.797	427.792	252.852	47.6428	863.752	25.667	89.7349	21.2641	236.048	86.2629	398.227	240.751	107.747	199.221	125.446	12359.4	200.84	398.629	0	0	-671.196	61.1829	680.868	2.74139	4462.9	1202.14	1055.44	0.0832981	0.695593	-3907.37
500	0.5	2.83353	2.47525	2.87519	28562	0.0499	1422.29	64.6802	264.535	250.953	218.086	291.757	213.649	279.186	178.831	168.698	213.099	151.182	175.704	165.803	170.894	163.604	186.191	173.106	230.708	194.407	213.807	195.403	183.039	194.54	155.086	176.977	238.122	236.384	295.232	207.106	228.619	236.108	210.102	104.565	76.8313	38.445	25.2412	22.3227	50.1462	52.708	216.026	22.0752	97.5133	84.3901	87.4639	113.442	124.241	131.871	107.797	73.6567	128.337	110.092	79.896	105.795	97.4892	125.335	105.462	73.08	85.1851	100.507	115.009	134.098	142.539	70.4496	38.6789	27.3475	22.3232	80.9351	45.7599	539.409	2.10779	3.99343	1.42788	6.43615	734.682	628.549	58.8591	225.348	478.204	1037.17	491.053	428.786	942.698	855.652	426.796	310.556	60.2562	1760.52	19.2773	61.5235	39.9949	235.447	155.04	328.515	288.652	125.241	239.983	122.999	29770.7	798.022	454.642	0	0	-627.285	85.1065	675.56	10.818	4358.45	1226.14	1199.25	0.387659	2.81756	-3772.52
750	0.75	2.94326	2.47525	2.99768	29668	0.0749	1351.91	54.2629	244.702	244.323	177.115	277.138	236.291	197.502	251.366	237.138	286.438	147.491	155.17	211.592	191.688	194.343	182.145	180.667	238.103	190.611	255.774	183.568	161.473	271.713	247.65	192.553	171.799	248.253	268.872	233.007	259.037	254.767	256.457	112.419	60.8318	19.3571	38.8849	41.1833	28.1953	21.3742	236.921	23.9074	82.4935	83.1887	101.422	120.057	128.653	129.588	100.066	112.844	121.67	127.867	86.9611	102.771	90.7722	102.679	99.8578	141.485	108.896	109.313	80.5933	97.7904	113.425	71.4205	51.3263	55.6854	48.0116	71.3057	63.2164	1146.73	3.44788	7.28086	4.24195	13.0357	1157.79	1536.75	109.2	234.938	490.656	994.643	407.434	507.765	852.692	931.341	498.22	303.028	45.5374	453.489	32.2171	72.7274	35.5646	256.327	128.326	414.28	229.565	124.258	214.685	93.3514	15357.3	1648.51	478.501	0	0	-483.437	64.9924	685.737	25.7795	4365.8	1203.6	1386.11	0.957832	6.02306	-3406.81
1000	1	2.65387	2.47525	2.67464	26751	0.0999	1295.09	60.7889	217.905	241.135	213.174	276.061	243.453	191.819	248.896	196.633	363.167	192.211	177.603	178.859	282.933	238.974	153.839	199.203	270.687	169.449	237.229	190.924	196.097	220.872	298.086	146.608	188.819	229.723	279.758	260.956	233.896	226.711	227.614	79.8839	94.8697	21.2315	21.5924	20.5221	15.95	19.3311	210.103	20.1195	86.8281	116.091	120.727	107.725	139.411	97.5831	103.338	91.2627	121.051	115.09	123.513	119.599	57.9361	76.2291	79.9641	124.356	159.344	103.909	103.335	80.0717	102.59	84.744	65.8163	84.1674	77.6121	74.2036	83.8818	1736.15	3.97698	15.8148	3.8896	12.5483	1053.7	2233.76	115.681	238.172	501.178	941.571	435.432	471.69	878.323	1067.54	498.059	274.185	64.3499	93.3454	18.4623	74.5217	37.2829	261.838	119.909	386.66	223.435	142.578	222.477	126.355	4591.36	2526.3	429.829	0	0	-495.211	61.1504	677.467	43.29	4323.11	1281.92	1056.67	1.38236	7.70538	-3103.75
1250	1.25	2.52363	2.47525	2.52926	25438.2	0.1249	1284.86	65.6252	230.81	187.675	207.962	238.782	195.927	183.678	191.388	277.614	312.83	173.824	201.69	201.331	229.28	210.794	142.013	222.708	259.889	177.426	214.861	217.503	192.905	243.371	271.457	177.361	247.14	212.049	209.654	236.03	227.079	283.725	200.382	103.014	87.0897	32.2872	21.0365	18.7863	13.2385	19.9944	239.783	27.5384	99.6295	81.098	112.835	118.167	108.283	109.526	71.1467	116.729	111.54	135.755	109.146	113.871	103.365	112.044	107.662	120.397	118.682	83.6181	91.7331	117.313	114.929	134.808	86.9717	129.62	118.522	111.328	113.604	2322.16	6.54926	16.6032	9.6895	14.7223	918.5	2360.83	114.014	235.942	574.955	909.424	410.676	447.988	911.873	895.669	427.843	285.04	48.6084	101.607	18.7739	57.2195	23.8523	290.66	132.157	346.398	240.389	108.581	209.295	117.408	1581.95	3434.2	478.576	0	0	-537.928	114.303	686.132	72.5332	4338.07	1279.5	907.876	2.01358	11.881	-3054.22
1500	1.5	2.54136	2.47525	2.54905	25616.9	0.1499	1340.01	66.5723	263.446	210.866	239.757	214.265	171.344	192.772	202.794	207.048	253.236	149.361	188.676	153.448	232.347	247.998	208.451	190.471	233.057	208.098	209.452	167.59	211.587	173.287	199.503	185.545	165.839	195.898	209.748	203.944	231.143	230.992	215.933	98.9095	84.3239	20.9693	18.4428	22.8029	32.114	26.6643	193.958	25.7681	92.6493	102.613	127.423	100.742	132.502	123.637	83.0587	115.202	96.9303	103.223	103.565	80.7798	90.9074	105.509	108.155	143.067	122.638	104.273	110.612	125.14	105.985	141.716	124.043	154.885	151.269	129.033	130.832	2630.28	10.985	19.3696	8.22596	12.5965	846.263	2100.33	116.244	248.861	503.426	965.945	443.159	445.006	845.322	921.282	434.018	271.278	39.1266	66.0638	16.0958	77.6723	25.6407	217.93	98.1213	344.141	249.94	127.288	292.679	112.672	913.461	3971.17	475.323	0	0	-544.984	32.6057	691.417	98.1565	4351.54	1336.9	812.719	3.28452	15.4847	-3237.54
1750	1.75	2.51099	2.47525	2.51514	25310.8	0.1749	1313.14	62.8193	209.966	247.214	213.724	226.082	146.261	179.358	147.242	182.313	234.932	171.344	172.545	173.241	211.318	187.451	151.43	193.009	203.975	201.816	200.232	185.464	190.033	173.762	188.61	144.173	191.579	181.089	232.331	191.507	207.033	222.643	195.974	152.475	84.9744	33.0019	26.0515	19.1738	36.0423	26.1314	216.147	25.0967	116.124	80.3344	146.786	147.039	117.835	132.068	84.9805	79.7871	105.583	147.139	134.27	99.6607	81.3786	120.576	94.8412	142.837	137.69	108.804	138.343	82.4583	109.888	155.717	132.417	158.939	131.085	148.495	139.017	2826.45	14.3429	20.8022	14.5949	19.4716	883.357	1879.49	110.268	213.685	489.699	999.22	426.33	430.232	839.068	983.042	464.466	295.6	44.1209	50.8462	29.1619	60.806	34.3014	252.72	105.23	378.152	235.11	151.494	237.463	134.369	656.452	4174.4	429.733	0	0	-562.323	78.0172	682.157	136.935	4334.27	1359.18	839.691	4.2508	22.0884	-3297.48
2000	2	2.52872	2.47525	2.53493	25489.5	0.1999	1297.88	63.8275	217.533	198.195	250.387	219.883	140.829	187.976	194.093	186.693	200.376	185.058	186.614	175.084	197.567	218.129	168.081	180.949	179.459	209.113	184.98	181.374	182.628	161.021	198.53	183.407	219.696	185.57	240.185	220.543	218.23	235.108	213.012	106.847	86.6173	22.7394	15.8656	21.2655	28.6392	25.6616	225.294	21.9539	88.8455	82.5589	144.346	174.532	167.566	174.493	86.1477	101.545	94.8402	134.506	89.4814	92.1004	91.768	110.259	114.753	199.027	160.986	124.212	111.853	107.171	108.974	178.133	145.974	181.692	171.582	220.586	162.2	2883.65	9.46212	8.53133	14.1059	16.8715	878.559	1700.51	97.0889	266.676	424.367	974.657	497.906	420.62	840.986	921.354	422.569	255.677	31.2826	64.2452	15.5236	66.6329	39.843	255.861	124.087	390.502	252.224	143.7	257.355	149.403	639.339	4359.23	520.328	0	0	-576.605	74.681	679.573	172.804	4359.52	1437.28	775.714	5.47743	30.4374	-3298.14
2250	2.25	2.52022	2.47525	2.52545	25403.8	0.2249	1285.44	73.4983	250.514	233.578	205.833	235.517	148.979	184.188	174.383	175.547	222.417	169.434	184.87	176.685	215.311	182.685	185.172	193.758	212.422	190.589	168.632	172.082	193.051	178.644	170.467	154.417	180.928	206.524	193.69	247.845	236.188	197.691	245.428	57.4448	66.7761	35.2788	19.2294	42.912	24.923	22.3839	249.973	16.9116	71.0292	92.532	109.894	121.339	137.689	138.202	101.219	108.35	113.603	166.303	91.1602	100.636	89.8478	155.404	120.196	135.701	170.513	116.406	102.692	126.242	128.44	212.014	132.463	230.13	178.833	191.749	150.168	2873.96	14.7517	19.6323	19.5769	21.0704	936.065	1544.18	85.8458	220.836	554.272	917.108	509.021	410.664	908.335	892.079	472.203	329.76	51.1704	46.2318	31.8821	69.5051	29.5852	291.834	183.847	384.71	245.162	122.989	228.664	135.004	497.165	4325.99	428.659	0	0	-569.183	104.054	690.277	207.206	4372.1	1448.86	783.102	7.14007	38.9117	-3336.34
2500	2.5	2.52699	2.47525	2.53301	25472.1	0.2499	1255.13	70.6808	236.269	239.016	227.86	210.479	171.887	236.848	177.679	171.302	192.849	185.171	198.311	198.447	220.959	210.292	159.872	177.879	210.848	188.032	190.054	191.256	149.888	156.216	209.428	226.304	229.012	198.567	231.359	227.217	222.868	211.574	229.035	112.593	45.996	21.0149	9.81875	43.1694	12.8775	17.376	189.164	18.4872	86.0936	127.604	138.404	159.918	133.069	123.238	89.3526	129.598	147.013	169.905	120.005	90.7975	76.288	129.501	110.084	114.438	146.852	136.946	96.6689	95.8081	104.288	183.367	157.11	193.716	192.474	193.652	186.68	2715.77	10.6177	37.7603	26.0382	16.9715	995.51	1503.78	87.1814	222.154	430.527	948.619	398.587	423.128	864.85	896.804	430.329	272.36	53.1314	54.7265	14.8912	95.6897	23.5853	272.312	137.169	378.844	275.446	133.015	204.481	144.662	579.334	4347.31	490.951	0	0	-583.61	96.956	690.181	261.937	4395.81	1527.08	743.855	6.73605	50.881	-3365.46
