step	time	T	T-cg	T-at	Ekin	res	angle_255	angle_256	angle_257	angle_258	angle_259	angle_260	angle_261	angle_262	angle_263	angle_264	angle_265	angle_266	angle_267	angle_268	angle_269	angle_270	angle_271	angle_272	angle_273	angle_274	angle_275	angle_276	angle_277	angle_278	angle_279	angle_280	angle_281	angle_282	angle_283	angle_284	angle_285	angle_286	angle_287	angle_288	angle_289	angle_290	angle_291	angle_292	angle_293	angle_294	angle_295	angle_296	angle_297	angle_298	angle_299	angle_300	angle_301	angle_302	angle_303	angle_304	angle_305	angle_306	angle_307	angle_308	angle_309	angle_310	angle_311	angle_312	angle_313	angle_314	angle_315	angle_316_cross	angle_317_cross	angle_318_cross	angle_319_cross	angle_320_cross	angle_321_cross	angle_322_cross	angle_323_cross	angle_324_cross	angle_325_cross	angle_326_cross	bond_129	bond_130	bond_131	bond_132	bond_133	bond_134	bond_135	bond_136	bond_137	bond_138	bond_138_cross	bond_139	bond_140	bond_141	bond_142	bond_143	bond_144	bond_145	bond_146	bond_147	bond_148	bond_149_cross	bond_150_cross	bond_35	dihedral_0	dihedral_0_cross	dihedral_176	dihedral_190	dihedral_191	dihedral_30_cross	dihedral_51	dihedral_60	dihedral_61	dihedral_61_cross	dihedral_64_cross	lj	lj-tab
2250	2.25	3.1883	2.47525	3.27121	32138.1	0.249	350.116	355.117	308.7	329.984	272.484	243.477	223.263	249.195	224.669	233.793	207.548	228.938	273.585	249.887	250.878	236.25	242.934	229.723	222.356	215.909	233.103	211.077	250.781	207.258	245.549	260.251	299.019	368.318	319.818	463.216	259.621	116.984	94.8479	46.3612	37.4154	55.4943	56.1293	34.834	216.68	18.1058	79.7422	114.278	162.131	227.064	266.653	244.22	111.475	165.331	197.011	153.13	174.711	188.955	206.835	238.712	216.165	266.05	286.495	179.667	156.94	184.987	202.232	341.835	252.772	241.36	322.431	324.707	316.933	2491.03	45.5475	36.9282	42.9648	19.0151	294.979	730.758	1209.81	692.297	1182.18	1135.04	1194.05	578.319	477.282	85.3545	69.9255	32.5129	95.1913	27.165	537.248	157.44	682.184	1919.98	172.46	384.696	156.151	578.367	5659.18	534.318	0	0	-520.567	242.75	596.949	1553.78	4560.6	1677.14	1129.72	82.2948	620.329	7567.77	-2126.29
2500	2.5	2.62387	2.47525	2.64116	26448.7	0.499	329.187	271.86	255.352	292.577	167.682	236.153	247.208	246.584	198.189	168.623	220.5	176.618	249.521	187.965	188.607	239.29	234.225	219.252	201.612	238.462	205.332	201.5	220.22	211.737	209.435	210.699	326.671	279.393	245.12	309.01	263.523	94.6348	62.417	21.3338	21.5063	15.6436	18.9149	32.4763	243.912	20.9422	92.9254	54.6994	146.006	210.052	300.65	268.392	99.7971	139.97	135.03	108.275	137.934	199.869	135.319	150.991	163.049	180.213	264.965	171.634	124.245	175.04	168.245	211.697	182.54	203.926	226.939	273.287	202.901	2057.88	45.9054	19.2006	16.7646	21.8175	241.992	539.26	1034.05	700.458	1825.67	1440.26	1109.76	420.321	271.868	63.5332	84.4193	38.3396	72.9956	43.7889	511.991	114.135	776.92	2978.13	142.184	210.563	130.524	509.997	4771.3	444.62	0	0	-519.734	86.3376	578.177	1444.97	4570.98	1694.36	1094.46	59.7726	636.094	3323.86	-1718.34
2750	2.75	2.56703	2.47525	2.5777	25875.7	0.749	253.539	280.925	301.657	288.133	194.869	247.562	192.657	227.131	161.819	172.378	195.927	187.858	259.853	242.722	191.829	200.822	194.526	168.505	194.123	196.023	204.502	195.965	186.653	191.169	216.426	225.133	274.828	240.578	240.571	360.875	231.618	79.097	72.2216	18.9331	44.3619	26.7706	32.3555	29.8122	196.406	32.5626	69.8033	160.234	192.974	197.375	317.997	312.604	97.134	115.822	163.25	126.38	140.457	190.37	162.474	164.196	155.878	179.149	267.065	151.898	153.406	117.638	167.989	269.931	220.225	247.523	164.624	259.938	182.269	1779.75	43.2082	28.4406	14.2458	32.0845	232.005	519.252	953.232	638.228	2479.66	1363.31	1008.13	409.994	253.293	24.2379	49.9378	12.6974	83.6196	10.7121	467.957	108.338	803.38	4196	134.716	271.11	116.191	415.628	4616.99	466.347	0	0	-527.47	65.0084	563.899	1459.92	4580.36	1672.59	1127	61.4277	627.816	-6077.74	-1017.84
3000	3	2.50717	2.47525	2.51088	25272.3	0.999	315.174	236.327	289.521	256.01	189.287	281	221.104	251.899	201.347	200.43	197.035	183.806	298.799	211.231	207.336	196.092	228.78	219.452	178.44	224.165	184.281	212.898	244.293	189.093	227.016	216.871	278.635	272.257	234.846	332.282	214.987	83.7189	113.169	25.9322	17.3696	10.0595	25.0827	26.1216	229.364	19.4239	73.8534	87.8377	162.247	217.596	409.844	318.756	122.414	139.374	157.816	123.604	154.402	183.952	151.191	136.067	157.991	175.137	304.622	139.106	91.6197	126.741	249.612	266.023	229.698	239.364	190.903	266.603	154.769	1763.94	24.4603	45.5776	41.5304	22.3484	243.844	505.937	971.706	750.64	3328.3	1413.94	1170.68	465.177	269.631	62.2196	40.1246	25.9346	77.7016	40.7618	578.263	180.974	914.082	4809.28	156.779	265.67	114.527	398.97	4356.62	473.486	0	0	-525.173	84.2408	551.211	1569.91	4607.86	1715.82	1107.56	60.9698	639.174	-20424.2	-4.40206
3250	3.25	2.5049	2.47525	2.50835	25249.4	1	335.311	214.983	306.843	256.05	199.086	201.787	231.713	225.22	201.329	194.515	244.143	207.202	261.016	220.518	208.657	172.566	173.338	182.173	205.296	240.207	207.424	190.603	206.184	192.179	246.781	210.791	298.173	287.007	276.894	336.08	240.604	97.991	77.9088	21.6826	31.5544	25.1368	24.7888	37.3421	228.186	46.4066	112.673	83.9778	208.222	199.383	359.337	257.262	82.0678	139.972	120.988	118.882	140.718	216.71	142.02	122.205	103.648	157.509	321.121	116.027	129.386	146.814	185.018	268.935	174.278	219.338	199.518	306.278	224.854	1740.15	14.7783	31.818	20.7089	24.8932	232.674	605.758	934.463	701.933	3102.39	1412.46	1042.99	482.68	256.708	64.5522	24.2222	20.7931	92.7577	45.4265	558.206	156.354	915.686	5249.09	148.629	287.311	138.797	436.774	3605.69	456.983	0	0	-517.733	113.884	574.939	1356.21	4570.3	1677	1137.19	61.1654	629.134	-22019.2	0
3500	3.5	2.53576	2.47525	2.5428	25560.5	1	348.983	244.066	314.773	251.73	186.59	196.598	164.094	205.933	214.49	148.182	203.211	203.322	246.969	159.825	161.342	170.643	174.739	208.486	176.789	211.302	199.441	176.844	190.867	214.94	203.99	203.839	235.666	252.555	203.778	250.515	215.8	100.371	71.4141	43.0283	24.8877	9.58081	34.413	24.3618	254.681	26.8143	77.2202	82.6104	123.508	204.091	333.712	275.806	89.0543	127.339	141.117	123.586	154.348	200.531	134.489	135.825	124.743	194.612	226.002	149.83	114.317	140.62	168.925	218.03	182.207	155.885	206.577	217.196	181.94	1626.17	15.782	24.4859	26.7987	39.1595	250.362	463.601	967.802	684.473	3133.8	1481.18	1019.28	435.617	279.887	58.7705	64.7141	36.7271	79.1433	38.9212	468.592	150.251	960.257	5150.22	116.454	233.682	160.086	450.11	3019.27	422.515	0	0	-510.345	94.5457	586.442	1333.87	4559.01	1646.67	1126.88	55.5516	631.693	-22622.4	0
3750	3.75	2.46162	2.47525	2.46003	24813.1	1	276.816	243.507	290.876	315.307	133.066	254.472	183.801	211.546	191.411	154.823	169.429	174.014	242.573	173.802	172.82	234.858	205.784	183.748	204.721	185.144	187.394	186.932	247.5	158.985	230.563	180.526	252.846	282.673	225.753	314.731	250.138	75.4334	69.1464	25.7311	29.7495	17.0011	28.2646	29.4336	199.923	34.4205	85.4953	120.896	180.503	197.964	334.384	260.189	98.4553	152.301	132.482	149.851	151.991	185.311	118.921	146.998	139.809	191.808	272.813	123.974	114.675	150.127	188.466	255.907	163.601	191.267	181.316	279.303	167.767	1623.27	19.8504	26.0632	28.5386	32.1718	222.033	502.748	895.077	553.784	3246.26	1520.9	1078.29	472.966	268.67	54.2616	55.4954	20.1116	71.937	27.69	566.818	166.682	942.542	4937.68	169.356	259.247	122.622	458.97	2659.26	439.538	0	0	-513.004	82.6469	588.958	1229.41	4558.13	1631.14	1105.23	58.6325	646.632	-23493.7	0
4000	4	2.51222	2.47525	2.51652	25323.2	1	235.603	245.917	281.97	231.043	185.207	212.645	224.338	214.121	221.655	199.552	231.816	186.943	242.108	213.89	151.337	179.675	181.882	192.806	184.132	199.015	144.664	170.889	224.086	209.727	222.249	183.25	249.399	230.054	203.321	229.133	229.823	96.2068	54.2529	25.0084	32.0162	24.24	19.9385	13.947	234.732	33.3538	63.6613	121.789	186.425	192.745	292.385	223.057	107.691	119.105	133.758	134.234	140.742	179.525	119.911	117.238	113.992	191.396	181.828	131.988	106.925	151.032	173.937	231.9	178.925	157.308	193.84	230.449	210.429	1425	28.9569	20.9458	26.795	14.9564	240.653	464.517	962.085	645.944	3226.26	1393.82	1045.27	487.072	286.749	36.998	52.3945	37.5614	69.8064	45.21	516.948	115.402	1015.67	5043.32	121.157	227.037	123.413	433.201	2354.59	402.068	0	0	-511.835	116.878	603.269	1106.08	4548.1	1614.88	1108.91	66.4746	586.673	-23691.9	0
4250	4.25	2.48595	2.47525	2.48719	25058.3	1	253.741	239.48	221.738	228.162	177.074	240.253	215.728	199.266	175.72	183.459	195.556	183.414	226.615	191.979	153.054	199.754	158.952	178.546	223.833	202.019	154.39	227.838	203.032	223.556	203.739	196.957	243.989	231.905	256.312	322.289	216.387	117.745	82.0701	22.7591	26.1483	35.1409	23.5193	23.7953	213.588	35.4775	73.0247	107.296	158.715	184.327	297.122	196.217	78.1823	107.904	148.824	118.415	148.742	190.44	101.973	152.84	139.925	162.246	202.654	126.006	109.66	138.67	212.996	264.725	175.833	182.311	170.753	239.688	183.123	1458.21	33.4482	27.9527	20.4138	33.2169	248.893	491.672	927.789	727.322	3122.9	1401.69	1059.06	442.827	282.003	60.7465	56.5959	29.9631	53.3889	30.6703	687.558	119.917	916.191	5098.52	152.315	257.646	126.489	464.611	2101.2	463.571	0	0	-517.405	96.0196	613.177	1097.5	4537.94	1607.24	1073.68	61.6046	640.402	-24093.1	0
4500	4.5	2.47195	2.47525	2.47157	24917.3	1	193.4	271.603	250.41	223.511	166.842	225.294	256.946	192.522	147.599	167.679	181.518	174.602	243.001	168.703	155.663	207.366	164.984	159.276	188.525	171.083	179.479	183.902	205.166	189.981	229.79	206.667	277.535	256.163	256.708	245.495	262.188	75.9868	70.8363	42.032	25.3013	26.5069	33.3287	33.0208	204.628	20.6006	76.3972	139.661	165.623	209.8	294.843	224.857	90.8679	98.4089	96.7921	128.166	177.327	159.636	109.505	116.673	120.717	179.171	200.342	119.278	108.682	129.478	223.607	270.252	196.765	186.221	134.932	242.155	162.016	1475.89	23.6521	28.2585	12.5905	27.5529	276.347	447.317	940.865	724.982	3225.92	1528.95	1071.59	419.692	326.409	58.4625	54.3041	17.2327	76.4697	18.8131	669.113	114.404	884.976	4777.1	145.609	287.589	91.9268	457.552	2022.51	499.133	0	0	-530.492	60.287	614.967	1045.19	4526.69	1603.33	1060.75	55.9961	601.272	-24391.1	0
