step	time	T	T-cg	T-at	Ekin	res	angle_252_cross	angle_254_cross	angle_255	angle_256	angle_257	angle_258	angle_259	angle_260	angle_261	angle_262	angle_263	angle_264	angle_265	angle_266	angle_267	angle_268	angle_269	angle_270	angle_271	angle_272	angle_273	angle_274	angle_275	angle_276	angle_277	angle_278	angle_279	angle_280	angle_281	angle_282	angle_283	angle_284	angle_285	angle_286	angle_287	angle_288	angle_289	angle_290	angle_291	angle_292	angle_293	angle_294	angle_295	angle_296	angle_297	angle_298	angle_299	angle_300	angle_301	angle_302	angle_303	angle_304	angle_305	angle_306	angle_307	angle_308	angle_309	angle_310	angle_311	angle_312	angle_313	angle_314	angle_315	angle_316_cross	angle_317_cross	angle_318_cross	angle_319_cross	angle_320_cross	angle_321_cross	angle_322_cross	angle_323_cross	angle_324_cross	angle_325_cross	angle_326_cross	bond_125_cross	bond_126_cross	bond_127_cross	bond_129	bond_130	bond_131	bond_132	bond_133	bond_134	bond_135	bond_136	bond_137	bond_138	bond_138_cross	bond_139	bond_140	bond_141	bond_142	bond_143	bond_144	bond_145	bond_146	bond_147	bond_148	bond_149_cross	bond_150_cross	bond_35	dihedral_0	dihedral_0_cross	dihedral_176	dihedral_190	dihedral_191	dihedral_30_cross	dihedral_51	dihedral_60	dihedral_61	dihedral_61_cross	dihedral_64_cross	tab-cg
250	0.25	2.51298	2.47525	2.51736	25330.8	0.00249	1457.87	87.0337	300.937	213.386	208.596	227.726	158.584	186.263	177.53	153.783	153.773	158.833	223.024	175.01	167.984	156.368	173.033	175.525	197.676	160.152	200.627	174.865	184.425	177.741	163.608	181.965	168.572	219.853	219.72	254.722	184.15	234.2	264.538	87.9831	50.6277	22.8728	20.5135	30.7423	17.3019	22.4064	205.887	13.7524	99.0582	106.309	116.511	137.109	147.142	142.209	100.691	93.1225	127.095	110.255	104.088	112.427	92.8773	113.843	87.4565	116.054	160.649	100.798	126.78	109.421	112.104	0.388091	0.13361	0.0756066	0.0603705	0.449675	0.157818	1.3499	0.00861448	0.0193365	0.011703	0.0157585	588.169	445.702	78.8967	239.123	516.823	958.797	414.629	424.883	883.435	914.064	394.801	275.745	52.5125	9.27168	31.5463	73.8316	29.5773	280.286	105.995	357.609	257.616	117.24	254.587	134.138	128.598	2.00354	488.302	0	0	-702.979	90.1108	675.013	0.0280955	4471.14	1185.94	1008.02	0.000897405	0.00698174	-3894.17
500	0.5	2.43545	2.47525	2.43082	24549.3	0.00499	1454.95	82.1561	227.795	222.743	279.355	226.011	157.575	161.358	178.605	179.084	191.71	157.293	186.626	141.88	179.4	136.643	167.272	191.867	206.132	162.349	149.275	232.648	149.035	162.92	153.256	154.799	244.89	203.724	242.888	220.641	207.993	186.469	226.114	91.5887	84.3218	23.3888	28.6724	34.1007	18.3978	26.2424	221.279	11.7306	100.881	104.339	98.2642	104.779	102.898	134.462	102.04	83.0183	94.5881	94.1858	99.5318	108.221	90.8273	110.128	126.571	107.485	95.9652	100.863	98.2875	111.201	95.3155	1.45675	0.573366	0.292839	0.250226	1.67734	0.640623	5.43095	0.0331649	0.0759523	0.0409053	0.102339	646.108	493.995	77.6069	242.572	499.253	968.331	407.085	384.283	823.313	912.97	420.324	288.575	54.8792	34.7462	30.1236	83.1718	37.1072	286.755	118.861	379.258	231.919	147.337	254.323	129.485	512.454	7.99202	411.085	0	0	-687.285	62.0049	670.656	0.108638	4379.92	1222.57	877.12	0.00366079	0.0274447	-3931.34
750	0.75	2.50207	2.47525	2.50519	25220.9	0.00749	1449.86	77.8541	206.144	226.564	233.627	275.951	142.188	192.768	144.078	181.078	138.448	179.521	186.477	183.281	156.465	203.189	150.883	173.12	173.136	230.512	245.82	182.048	142.165	217.038	151.368	197.699	200.751	143.255	243.066	263.101	217.054	243.747	181.822	102.987	107.71	18.7374	24.1912	25.1428	21.1306	21.2517	191.461	13.2208	95.2817	117.241	119.503	129.178	109.558	148.721	97.339	109.811	93.1044	131.399	108.826	103.019	88.7837	102.236	111.557	115.575	140.282	65.7253	124.854	106.565	106.78	3.39082	1.26248	0.664533	0.561806	3.4657	1.34683	12.0729	0.0500046	0.142316	0.0916601	0.235005	641.513	482.56	58.2918	251.832	492.009	987.223	462.572	337.441	925.99	987.913	455.263	259.551	43.6272	71.4974	39.9782	72.1681	26.7044	245.747	126.209	372.984	281.141	112.05	247.956	138.016	1114.72	18.0034	457.076	0	0	-687.672	95.8567	665.741	0.242539	4393.36	1243.75	803.131	0.0085331	0.0618103	-3938.6
1000	1	2.52245	2.47525	2.52793	25426.3	0.00999	1440.87	73.0506	264.901	229.145	209.575	258.191	168.749	167.186	193.784	157.424	192.679	128.088	182.587	194.309	191.51	163.152	182.838	202.099	187.759	175.341	182.548	201.223	144.962	192.232	127.312	194.988	221.641	164.06	201.46	280.844	224.823	237.276	256.333	70.9696	74.8944	15.2214	23.66	26.8877	18.1786	25.9585	246.412	30.2332	78.7664	82.4301	112.115	123.039	110.578	133.361	101.128	102.202	100.034	116.103	126.49	119.374	117.514	115.165	116.505	119.45	147.569	99.2434	111.205	123.119	113.04	6.06305	2.19771	1.24919	0.99344	5.80279	2.30293	20.7112	0.11331	0.218862	0.148805	0.425021	586.083	446.449	54.9329	219.616	514.53	982.032	500.934	478.134	875.8	865.877	439.075	263.357	22.8931	124.575	28.52	75.4912	39.8871	241.575	98.1181	417.81	268.204	112.936	242.24	123.728	1910.89	31.1531	520.41	0	0	-670.821	72.4322	684.525	0.441603	4372.23	1246.73	780.47	0.0178254	0.106294	-3947.95
1250	1.25	2.4448	2.47525	2.44126	24643.6	0.01249	1450.8	67.4292	237.744	210.215	265.62	250.608	136.561	171.711	158.416	169.651	184.794	172.461	209.25	205.317	181.68	211.251	154.248	175.82	170.145	179.048	191.891	178.293	168.117	149.179	179.592	154.796	171.463	170.528	231.315	246.409	216.601	207.268	231.724	109.174	77.3334	17.0865	24.9197	28.1239	29.4922	23.6048	201.699	23.212	101.377	101.047	138.453	100.822	109	124.255	128.118	107.321	93.0401	138.496	104.738	112.213	89.5235	99.6788	92.7513	82.9999	116.781	112.053	109.21	107.683	84.5151	8.95371	3.31622	1.75779	1.58079	7.55154	3.52527	31.7376	0.136669	0.378347	0.251797	0.606368	626.092	464.18	62.9509	236.651	554.958	874.873	430.84	428.578	887.789	876.846	427.005	232.01	40.9053	186.693	25.3111	80.0551	30.5892	248.367	152.355	341.946	281.42	112.102	233.193	106.766	2834.41	48.5094	417.524	0	0	-675.609	92.6568	676.62	0.675153	4384.54	1264.22	752.746	0.0261274	0.168447	-3895.39
1500	1.5	2.47701	2.47525	2.47722	24968.3	0.01499	1447.6	71.4397	217.336	265.621	210.35	236.699	194.317	213.155	187.38	146.556	216.082	161.96	181.794	184.949	185.98	168.324	163.533	171.277	209.256	225.216	217.161	226.653	145.475	154.903	184.117	174.251	196.128	177.719	200.057	209.528	259.944	225.723	235.729	90.2196	71.674	30.3477	17.1788	19.3963	20.3154	15.6865	210.8	23.3863	81.9007	100.546	132.059	74.5631	126.89	153.09	104.562	109.858	101.706	109.625	88.1313	93.0518	99.3914	81.3585	108.459	128.325	135.86	118.839	93.6809	102.44	110.678	11.9222	4.60594	2.36926	2.43562	9.40935	4.66727	45.6991	0.267362	0.6654	0.3476	1.20754	562.589	465.714	65.6157	215.001	501.49	906.748	446.603	423.888	874.892	849.392	487.936	251.04	53.6181	261.406	30.5251	63.3598	24.9468	223.523	151.684	368.15	273.913	134.616	242.748	140.028	3732.23	69.7515	482.385	0	0	-674.697	73.1866	673.1	0.979351	4383.93	1243.95	759.5	0.0397596	0.250432	-3888.12
1750	1.75	2.4213	2.47525	2.41502	24406.7	0.01749	1435.83	77.153	292.021	228.515	252.532	224.93	161.811	251.865	186.853	130.473	188.809	154.608	193.192	183.543	167.223	191.241	192.75	149.894	145.578	168.924	223.387	178.198	168.908	190.632	147.998	162.548	229.835	145.799	198.133	186.567	209.077	202.881	229.549	103.926	88.6045	37.0647	11.9036	24.1728	20.6151	23.1819	226.429	25.3875	84.131	87.3535	147.525	85.3041	106.986	168.871	81.2333	104.684	87.6352	95.5872	102.812	103.186	95.6999	89.6757	96.0783	123.119	146.233	124.54	112.164	123.344	88.6617	14.1795	5.87781	3.33861	3.22324	12.0409	6.38721	61.2341	0.345285	0.927358	0.397558	1.12815	532.895	532.643	68.8257	224.551	496.869	892.295	535.848	435.43	911.766	930.439	481.974	328.141	39.1279	316.245	17.938	83.8641	24.4676	314.758	120.271	365.347	297.554	134.944	232.482	134.129	4699.15	94.1676	479.667	0	0	-674.646	91.7339	656.003	1.37134	4421.28	1210.25	782.268	0.0414567	0.338463	-3915.37
2000	2	2.46787	2.47525	2.46701	24876.1	0.01999	1435.36	68.6076	266.313	261.272	237.834	199.386	170.562	194.109	150.369	162.139	221.641	168.666	198.831	164.001	152.196	154.793	186.136	163.668	190.684	185.756	206.327	161.344	165.426	168.473	172.817	204.921	223.877	172.239	224.712	197.717	245.822	216.838	244.308	60.5154	73.4023	19.4491	24.1423	21.0954	23.4445	21.9234	281.385	18.3574	74.7216	56.1799	99.2276	97.9331	94.7178	124.944	97.6171	93.5655	103.509	124.895	107.69	100.263	116.482	96.3599	101.134	103.379	118.692	83.577	109.141	89.296	96.2261	17.2093	7.50118	4.21992	4.12309	14.9265	7.81331	80.4169	0.440973	0.736369	0.391522	1.52462	555.994	542.363	78.4422	219.463	481.773	922.13	391.559	436.744	846.787	920.651	429.986	299.659	36.9536	365.878	22.9663	82.3611	20.9695	254.652	113.506	322.264	250.36	82.8297	249.646	130.48	5641.85	124.073	459.619	0	0	-671.434	62.2477	672.14	1.8473	4410.06	1232.94	789.563	0.0612304	0.424267	-3908.35
2250	2.25	2.51046	2.47525	2.51455	25305.4	0.02249	1406.25	73.8078	236.759	238.146	265.941	184.342	163.416	195.27	195.848	147.985	160.549	191.793	211.732	169.755	202.272	204.981	172.717	177.175	171.345	184.189	174.403	189.732	165.549	139.616	166.965	183.979	191.73	186.353	267.07	288.377	259.509	242.302	213.795	91.5854	98.8642	34.1266	25.0435	52.4078	38.9753	17.7323	222.394	44.2397	60.825	105.193	127.865	123.895	122.473	133.717	83.4537	103.032	82.9728	121.221	81.3985	105.83	80.3566	117.234	106.16	138.097	161.226	113.585	81.4639	98.4518	122.72	18.4955	8.75339	5.5537	5.22418	16.4464	9.31007	104.565	0.466132	1.41303	0.453023	1.45585	637.429	560.212	69.7276	223.073	503.526	921.516	424.795	384.354	862.043	857.491	428.652	238.75	49.9085	357.222	30.1606	73.8955	31.3053	225.386	97.2275	384.824	257.16	117.257	261.037	124.3	6162.49	156.275	453.16	0	0	-669.606	74.2867	673.594	2.37382	4390.03	1288.8	815.184	0.0764608	0.542509	-3791.79
2500	2.5	2.48519	2.47525	2.48635	25050.7	0.02499	1392.89	70.4294	208.338	221.834	209.326	200.118	186.172	230.176	160.15	191.587	163.877	151.823	148.181	165.91	169.47	148.95	189.858	184.221	210.416	224.161	218.673	206.159	170.44	149.959	170.483	192.863	223.025	181.441	254.9	197.642	185.843	202.063	243.087	76.2998	57.5983	25.5847	36.3598	31.8268	22.9103	25.2505	214.379	23.3637	90.5854	105.606	109.368	117.851	162.964	143.804	93.7202	93.0507	120.214	89.8069	94.7175	99.7024	89.8294	105.436	136.569	118.07	114.749	78.1188	92.4405	118.333	112.825	20.0115	9.85023	6.65725	7.03772	16.6308	10.6914	127.783	0.365732	1.53779	0.587465	1.5229	554.597	644.798	74.5725	199.387	500.492	1009.74	438.084	472.482	885.86	884.082	492.664	289.807	49.8375	299.522	35.6878	72.4987	19.5522	284.138	105.918	407.123	259.545	137.516	241.697	112.865	6282.29	189.737	464.724	0	0	-673.379	78.3576	672.94	2.81306	4397.58	1269.18	863.963	0.0899756	0.63094	-3736.02
