step	time	T	T-cg	T-at	Ekin	res	angle_255	angle_256	angle_257	angle_258	angle_259	angle_260	angle_261	angle_262	angle_263	angle_264	angle_265	angle_266	angle_267	angle_268	angle_269	angle_270	angle_271	angle_272	angle_273	angle_274	angle_275	angle_276	angle_277	angle_278	angle_279	angle_280	angle_281	angle_282	angle_283	angle_284	angle_285	angle_286	angle_287	angle_288	angle_289	angle_290	angle_291	angle_292	angle_293	angle_294	angle_295	angle_296	angle_297	angle_298	angle_299	angle_300	angle_301	angle_302	angle_303	angle_304	angle_305	angle_306	angle_307	angle_308	angle_309	angle_310	angle_311	angle_312	angle_313	angle_314	angle_315	angle_316_cross	angle_317_cross	angle_318_cross	angle_319_cross	angle_320_cross	angle_321_cross	angle_322_cross	angle_323_cross	angle_324_cross	angle_325_cross	angle_326_cross	bond_129	bond_130	bond_131	bond_132	bond_133	bond_134	bond_135	bond_136	bond_137	bond_138	bond_138_cross	bond_139	bond_140	bond_141	bond_142	bond_143	bond_144	bond_145	bond_146	bond_147	bond_148	bond_149_cross	bond_150_cross	bond_35	dihedral_0	dihedral_0_cross	dihedral_176	dihedral_190	dihedral_191	dihedral_30_cross	dihedral_51	dihedral_60	dihedral_61	dihedral_61_cross	dihedral_64_cross	lj	lj-tab
100750	100.75	2.53809	2.47525	2.5454	25584	0.00249	251.333	234.904	265.135	235.096	153.105	207.557	191.164	190.713	197.829	162.991	207.814	186.72	200.701	171.865	204.51	222.352	212.362	182.508	187.356	193.973	164.193	149.996	200.418	191.313	220.175	151.803	262.866	235.058	241.284	287.17	238.145	67.5913	111.246	17.4087	10.9196	25.4608	37.785	30.8345	194.539	21.3953	101.805	100.063	134.427	127.885	149.385	145.984	100.035	136.528	122.851	138.744	116.911	110.375	76.6267	125.921	129.345	144.137	116.912	130.205	104.62	91.7758	118.487	222.275	180.469	191.995	132.128	230.008	139.686	1155.5	35.9789	26.1805	28.0591	28.3476	244.354	566.185	943.623	463.44	463.403	893.182	893.062	487.7	319.607	64.5326	64.3527	23.3845	69.4661	41.7678	257.753	130.045	315.426	275.269	123.893	269.379	123.463	448.739	602.528	473.997	0	0	-613.764	120.898	670.013	789.331	4312.4	1285.1	762.904	76.7147	674.334	901.599	-3840.93
101000	101	2.45394	2.47525	2.45146	24735.7	0.00499	255.042	229.241	212.984	235.837	148.912	201.985	180.355	165.901	180.596	158.211	217.032	213.486	178.852	161.585	186.476	182.489	149.327	166.906	177.348	183.178	169.146	152.808	166.575	163.671	157.724	171.923	242.189	254.006	222.577	211.476	264.792	93.3652	53.3937	26.7322	23.0008	27.1731	14.935	43.7555	237.614	20.5148	57.7772	97.0333	105.95	113.242	139.004	149.252	73.9409	109.169	104.006	126.819	142.223	92.4376	107.604	115.491	111.077	158.395	121.84	105.383	106.076	142.668	110.913	219.32	160.603	144.529	148.862	236.064	143.258	1060.46	31.7731	33.338	28.9245	31.3538	243.884	504.163	1033.17	406.456	409.568	941.279	865.448	394.895	290.017	36.789	40.6353	23.3863	79.4585	32.7312	231.435	95.0282	431.491	271.111	138.732	293.244	136.946	416.411	633.39	423.548	0	0	-606.991	100.063	669.569	823.726	4319.72	1280.57	752.373	95.0545	626.917	1315.11	-3767.82
101250	101.25	2.48998	2.47525	2.49169	25099	0.00749	304.799	165.732	245.046	217.038	157.401	197.694	196.408	166.333	134.063	182.015	225.409	242.347	151.498	170.708	171.916	198.015	189.326	207.994	240.776	198.283	161.018	157.321	150.945	184.731	200.644	166.217	237.325	198.566	236.704	202.17	228.437	82.4092	102.273	37.3174	11.0338	25.5372	36.4848	33.4091	254.636	15.7062	86.6949	73.1863	109.241	117.869	144.419	121.053	78.7188	93.1863	101.307	91.7911	92.2905	94.5212	98.093	111.957	118.388	119.696	137.272	113.584	94.4327	114.956	130.293	236.868	157.314	143.992	154.163	170.148	130.703	1243.27	20.7262	57.6383	21.0287	24.3565	198.988	547.582	947.413	447.415	461.774	859.539	881.442	431.706	242.884	49.6643	68.7016	33.4064	55.133	22.5353	306.107	115.224	406.573	250.296	106.204	263.216	107.408	463.139	592.516	483.901	0	0	-609.184	75.4164	668.646	847.942	4268.98	1276.75	731.312	75.8112	647.327	1809.02	-3739.14
101500	101.5	2.48863	2.47525	2.49018	25085.4	0.00999	167.155	196.762	210.731	259.669	154.992	195.971	161.636	186.459	169.522	195.652	181.119	174.677	171.148	188.522	164.181	180.304	187.154	197.931	195.772	215.249	145.391	154.947	178.032	142.032	209.155	180.138	224.42	252.679	243.149	189.715	189.896	123.649	89.1309	31.4682	25.92	15.0744	21.5195	12.9488	218.891	30.3999	77.8205	119.071	113.501	126.194	119.335	158.537	80.0097	104.821	84.05	126.687	90.8999	103.255	95.0744	98.4841	94.5363	127.018	136.027	133.433	86.875	122.97	85.3664	196.624	133.39	140.851	144.613	203.838	128.588	1162.31	33.7834	29.9125	32.0678	39.1533	214.241	502.61	980.455	399.576	454.73	928.43	913.355	440.728	278.678	49.2154	26.2358	17.7798	81.5127	22.8983	212.609	116.79	446.914	275.918	86.6433	274.25	105.306	409.986	634.044	430.774	0	0	-610.248	67.2974	671.862	831.897	4302.42	1316.64	757.206	68.5284	615.411	2256.84	-3668.89
101750	101.75	2.51457	2.47525	2.51914	25346.8	0.01249	245.261	210.491	242.638	209.357	172.955	236.207	166.154	178.506	177.646	159.864	200.588	249.897	222.317	140.306	155.902	192.914	201.367	234.377	211.246	194.752	126.205	180.405	178.467	177.645	159.004	172.011	232.329	261.755	227.894	232.124	200.27	79.2184	104.916	31.268	24.4761	19.7802	25.2608	11.5766	245.192	25.9253	55.6947	85.3525	151.496	137.474	150.21	138.68	97.9341	101.477	104.821	129.271	100.549	120.202	110.928	93.9254	126.259	151.28	156.053	101.773	96.6327	101.546	142.283	237.61	144.363	138.853	135.203	207.224	124.139	1123.46	31.3326	72.7482	22.2299	15.853	283.146	433.445	956.254	466.158	430.615	950.251	982.976	433.079	299.081	53.6617	49.3341	18.892	95.6682	24.2624	280.73	139.096	448.274	296.496	178.816	264.056	93.7481	407.914	812.912	433.652	0	0	-607.851	71.3126	653.593	767.403	4333.98	1300.07	746.985	75.4219	613.576	2663.95	-3660.79
102000	102	2.47738	2.47525	2.47763	24972	0.01499	248.959	198.462	239.281	254.763	139.113	173.266	174.846	138.253	167.109	202.563	149.698	273.123	175.907	218.827	188.407	179.972	187.227	204.668	206.278	229.788	165.414	142.19	198.156	147.454	205.751	157.36	231.825	222.848	235.601	205.655	264.21	74.5361	72.4445	37.827	15.5661	27.5837	34.4835	16.2177	175.363	32.9704	127.367	112.398	100.244	171.461	134.89	134.948	119.061	116.224	105.973	107.781	113.651	93.1355	99.3619	104.329	121.464	135.629	130.695	102.13	109.723	90.217	119.69	252.405	128.528	173.937	136.894	246.388	137.485	1078.73	19.25	52.308	12.4363	29.1366	217.066	495.951	905.969	484.692	444.874	961.636	867.53	484.606	259.715	47.94	59.2677	24.048	83.3793	17.0834	307.083	141.569	472.956	296.227	154.486	246.105	117.604	421.567	706.796	402.724	0	0	-610.566	76.2862	669.331	925.237	4328.9	1309.03	777.535	86.9695	616.217	3025.27	-3614.46
102250	102.25	2.48794	2.47525	2.48941	25078.4	0.01749	252.722	252.458	227.783	231.621	193.307	175.962	155.841	191.6	167.972	146.843	181.866	270.224	187.955	168.658	165.595	185.205	182.805	220.456	230.474	203.072	155.507	142.441	152.822	181.615	202.645	169.333	210.16	233.655	251.742	252.117	211.777	106.816	79.5918	13.7959	17.7447	20.7496	29.8768	19.524	227.393	16.8946	62.4429	118.346	110.215	107.39	177.082	205.176	125.048	110.101	104.143	111.671	96.7629	120.041	86.3681	100.988	100.441	160.449	162.119	70.1638	121.96	103.065	113.72	190.671	136.484	161.935	166.158	226.256	144.816	1068.78	22.129	49.3803	30.9451	17.4001	214.083	557.413	1130.76	489.387	439.298	960.063	903.265	467.02	271.589	58.2451	50.4917	19.4413	49.0567	26.2661	258.074	122.46	580.323	315.877	172.695	263.112	150.279	461.785	720.923	388.745	0	0	-607.948	82.1402	640.304	771.105	4337.94	1341.28	733.628	83.5544	622.387	3283.98	-3637.53
102500	102.5	2.5311	2.47525	2.5376	25513.5	0.01999	217.787	257.3	236.458	252.092	156.64	166.024	161.136	158.838	155.726	170.087	208.828	305.388	202.575	205.742	183.289	178.537	191.208	188.09	191.283	224.24	155.009	128.284	170.571	177.232	183.113	167.932	215.447	281.935	282.973	215.898	210.468	68.0745	104.479	31.2577	34.2631	31.2092	30.6759	20.7135	218.714	26.9777	119.8	75.3347	125.442	89.6531	183.675	172.286	110.718	90.1156	102.763	129.344	111.099	132.423	102.74	103.412	107.436	153.502	130.024	136.772	105.974	99.2935	124.818	239.672	144.171	174.65	166.703	275.935	137.739	1227.22	15.5998	80.1009	25.1641	27.1436	241.754	463.259	1044.97	503.424	498.526	999.938	838.164	525.064	235.665	72.5785	49.852	27.5979	85.851	43.7293	380.705	140.762	592.931	240.745	167.676	246.055	120.932	490.311	779.896	461.098	0	0	-602.972	81.5185	645.176	820.676	4344.27	1333.59	771.966	64.0372	650.453	3858.55	-3627.89
102750	102.75	2.5224	2.47525	2.52788	25425.7	0.02249	207.107	271.573	231.507	246.578	137.097	184.33	193.593	156.745	202.412	184.79	203.854	238.937	167.556	189.461	195.195	157.747	206.392	260.616	262.865	239.53	189.562	165.213	178.193	179.513	197.265	166.926	248.208	216.919	212.198	242.153	229.261	87.3703	94.3888	35.8683	33.8383	27.7379	27.6797	23.2317	203.902	23.961	73.7855	103.547	109.557	103.909	190.198	138.252	105.719	123.787	101.028	119.974	115.713	115.151	126.72	118.228	113.211	170.747	176.18	99.5796	127.67	116.088	136.357	184.407	152.891	159.424	146.491	207.729	120.43	1104.62	24.6662	71.9327	13.5969	16.8861	202.091	503.851	1103.13	508.705	568.937	1121.87	963.833	509.973	288.36	96.8559	52.4085	27.6089	59.9107	38.3592	357.774	152.786	730.542	303.003	134.927	278.363	126.417	454.497	862.337	435.241	0	0	-602.315	104.418	655.345	751.731	4343.41	1298.84	769.05	64.8026	653.693	4304.13	-3658.67
103000	103	2.49687	2.47525	2.49939	25168.5	0.02499	212.118	225.605	248.121	191.346	155.02	215.445	186.857	154.679	164.344	153.442	215.384	355.937	169.087	175.381	173.156	148.5	169.63	230.379	212.094	243.323	163.359	163.176	178.335	168.956	193.661	165.522	246.68	223.909	240.023	261.492	227.569	82.3151	82.3203	43.4768	23.015	24.981	20.7953	63.5107	190.964	27.6526	107.354	134.071	112.388	143.51	159.915	132.207	95.8985	97.7366	113.939	113.044	95.5396	149.18	116.85	139.816	105.545	178.822	202.297	114.63	126.2	101.885	75.7126	213.754	136.234	141.509	151.169	185.146	124.715	1171.65	25.8984	123.023	32.3811	15.5105	213.182	559.442	1043.82	502.53	535.992	1103.39	968.832	477.148	266.314	81.9914	47.0612	15.6341	66.8504	38.8175	452.847	135.916	700.215	324.238	212.573	329.887	133.833	490.56	774.05	446.076	0	0	-606.722	77.4071	644.366	755.661	4363.17	1328.29	781.916	69.7223	642.942	4718.38	-3637.88
